,lengthOfEmailId,noOfDotsInEmailId,noOfDashesInEmailId,noOfSpecialCharsInEmailId,noOfDigitsInEmailId,noOfSubdomainsInEmailId,noOfUrls,noOfDotsInUrls,noOfDashesInUrls,noOfSpecialCharsInUrls,hasIpAddressInUrls,noOfIpAddressInUrls,noOfHttpsLinks,no_of_attachments,class_label,noOfMaliciousWords
1854,18,0,0,0,0,0,7,17,2,15,0,0,2,0,1,100
1855,18,0,0,0,0,0,9,27,5,29,0,0,1,0,1,49
1856,33,0,1,0,11,0,1,5,0,2,0,0,0,1,1,2
1857,25,1,0,0,0,0,9,17,5,17,0,0,3,0,1,93
1858,17,0,0,0,2,0,0,0,0,0,0,0,0,0,1,55
1859,19,0,1,0,0,0,21,64,3,61,0,0,1,0,1,100
1860,15,0,0,0,0,0,2,6,2,4,0,0,1,0,1,95
1861,16,0,0,0,0,0,6,18,4,9,0,0,0,0,1,69
1862,39,2,0,0,10,0,1,6,2,2,0,0,0,1,1,11
1863,35,2,0,0,11,0,1,6,2,2,0,0,0,1,1,9
1864,16,0,0,0,0,0,2,4,0,8,0,0,1,0,1,27
1865,24,0,0,0,0,0,7,22,0,14,1,1,1,0,1,56
1866,19,0,1,0,0,0,21,63,3,60,0,0,0,0,1,101
1867,20,0,1,0,0,0,4,15,0,9,1,1,1,0,1,47
1868,18,0,0,0,0,0,2,8,6,18,0,0,1,0,1,16
1869,36,2,0,0,8,0,1,6,2,2,0,0,0,1,1,12
1870,19,0,0,0,0,0,6,23,0,13,1,1,0,0,1,56
1871,21,0,1,0,0,0,28,61,11,72,0,0,0,0,1,60
1872,22,0,1,0,0,1,21,76,14,102,0,0,0,0,1,122
1873,20,0,0,0,0,0,2,5,0,3,0,0,0,0,1,49
1874,18,0,0,0,0,0,6,17,5,14,1,1,2,0,1,94
1875,15,0,0,0,0,0,27,61,3,52,0,0,0,0,1,124
1876,34,0,1,0,3,0,5,21,10,28,0,0,0,0,1,65
1877,18,0,0,0,0,0,6,17,5,14,1,1,2,0,1,94
1878,18,0,0,0,0,0,4,13,3,8,0,0,0,0,1,57
1879,34,0,1,0,3,0,5,21,10,28,0,0,0,0,1,65
1880,34,0,0,3,5,0,2,7,1,2,0,0,0,1,1,39
